"ADM2_CODE","ADM2_NAME","STR2_YEAR","EXP2_YEAR","ADM1_CODE","ADM1_NAME","STATUS","DISP_AREA","ADM0_CODE","ADM0_NAME","Shape_Leng","Shape_Area","BB"
17679,"Belgaum",1000,3000,1494,"Karnataka","Member State","NO",115,"India",9.3917775844,1.12651719012,"(2.22e+03,2.78e+03]"
17680,"Bellary",1997,3000,1494,"Karnataka","Member State","NO",115,"India",6.83886584297,0.708337262756,"(1.67e+03,2.22e+03]"
17681,"Bidar",1000,3000,1494,"Karnataka","Member State","NO",115,"India",4.6682529696,0.463418234971,"(1.11e+03,1.67e+03]"
17682,"Bijapur",1997,3000,1494,"Karnataka","Member State","NO",115,"India",6.23599348468,0.888709983734,"(1.11e+03,1.67e+03]"
17683,"Chikmagalur",1000,3000,1494,"Karnataka","Member State","NO",115,"India",4.97883865607,0.600026862763,"(2.22e+03,2.78e+03]"
17685,"Dakshin Kannad",1997,3000,1494,"Karnataka","Member State","NO",115,"India",4.25483671603,0.379896635794,"(2.22e+03,2.78e+03]"
17686,"Dharwad",1997,3000,1494,"Karnataka","Member State","NO",115,"India",4.03747878022,0.358696368748,"(2.22e+03,2.78e+03]"
17687,"Gulbarga",1000,3000,1494,"Karnataka","Member State","NO",115,"India",8.97881750526,1.37726305161,"(1.11e+03,1.67e+03]"
17688,"Hassan",1000,3000,1494,"Karnataka","Member State","NO",115,"India",5.52801567818,0.565800264772,"(2.22e+03,2.78e+03]"
17689,"Kodagu",1000,3000,1494,"Karnataka","Member State","NO",115,"India",3.89778200859,0.340390758262,"(2.22e+03,2.78e+03]"
17690,"Kolar",1000,3000,1494,"Karnataka","Member State","NO",115,"India",6.82655062926,0.684285324507,"(1.11e+03,1.67e+03]"
17691,"Mandya",1000,3000,1494,"Karnataka","Member State","NO",115,"India",4.42402086847,0.40978382627,"(1.67e+03,2.22e+03]"
17692,"Mysore",1997,3000,1494,"Karnataka","Member State","NO",115,"India",5.51073934174,0.523124059943,"(2.22e+03,2.78e+03]"
17693,"Raichur",1997,3000,1494,"Karnataka","Member State","NO",115,"India",4.85078126471,0.712555284955,"(1.11e+03,1.67e+03]"
17694,"Shimoga",1997,3000,1494,"Karnataka","Member State","NO",115,"India",5.89260393244,0.647171433005,"(2.22e+03,2.78e+03]"
17695,"Tumkur",1000,3000,1494,"Karnataka","Member State","NO",115,"India",9.15524907447,0.884369413307,"(1.67e+03,2.22e+03]"
17696,"Uttar Kannand",1000,3000,1494,"Karnataka","Member State","NO",115,"India",8.61203816888,0.863034480134,"(2.22e+03,2.78e+03]"
70157,"Bagalkot",1997,3000,1494,"Karnataka","Member State","NO",115,"India",5.77787617692,0.553821708242,"(1.11e+03,1.67e+03]"
70158,"Bangalore Rural",1000,3000,1494,"Karnataka","Member State","NO",115,"India",7.17711543612,0.483936585346,"(1.67e+03,2.22e+03]"
70159,"Bangalore Urban",1000,3000,1494,"Karnataka","Member State","NO",115,"India",2.77293836191,0.181516804258,"(1.67e+03,2.22e+03]"
70160,"Chamrajnagar",1997,3000,1494,"Karnataka","Member State","NO",115,"India",5.05047545129,0.469209556679,"(1.67e+03,2.22e+03]"
70161,"Chitradurga",1997,3000,1494,"Karnataka","Member State","NO",115,"India",5.78520554575,0.705669080872,"(1.67e+03,2.22e+03]"
70162,"Davanagere",1997,3000,1494,"Karnataka","Member State","NO",115,"India",5.59315442439,0.553735624588,"(1.67e+03,2.22e+03]"
70163,"Gadag",1997,3000,1494,"Karnataka","Member State","NO",115,"India",4.9027012758,0.389915233002,"(1.67e+03,2.22e+03]"
70164,"Haveri",1997,3000,1494,"Karnataka","Member State","NO",115,"India",4.07415605423,0.402374204539,"(2.22e+03,2.78e+03]"
70165,"Koppal",1997,3000,1494,"Karnataka","Member State","NO",115,"India",4.85223438507,0.468085913445,"(1.67e+03,2.22e+03]"
70166,"Udupi",1997,3000,1494,"Karnataka","Member State","NO",115,"India",4.47398736543,0.324776435144,"(2.22e+03,2.78e+03]"
17698,"Kannur",1000,3000,1495,"Kerala","Member State","NO",115,"India",3.35924043141,0.232518839455,"(2.22e+03,2.78e+03]"
17699,"Ernakulam",1000,3000,1495,"Kerala","Member State","NO",115,"India",3.65896924121,0.189370927966,"(2.22e+03,2.78e+03]"
17700,"Idukki",1000,3000,1495,"Kerala","Member State","NO",115,"India",4.86548578518,0.411327614108,"(2.22e+03,2.78e+03]"
17701,"Kasaragod",1000,3000,1495,"Kerala","Member State","NO",115,"India",2.96116993915,0.163392305268,"(2.22e+03,2.78e+03]"
17702,"Kottayam",1000,3000,1495,"Kerala","Member State","NO",115,"India",2.51478772705,0.175828846131,"(2.22e+03,2.78e+03]"
17703,"Kozhikode",1000,3000,1495,"Kerala","Member State","NO",115,"India",2.50271494528,0.188630014972,"(2.22e+03,2.78e+03]"
17704,"Malappuram",1000,3000,1495,"Kerala","Member State","NO",115,"India",3.27615968605,0.289935515184,"(2.22e+03,2.78e+03]"
17705,"Palakkad",1000,3000,1495,"Kerala","Member State","NO",115,"India",4.49404356974,0.36966611957,"(2.22e+03,2.78e+03]"
17706,"Pattanamtitta",1000,3000,1495,"Kerala","Member State","NO",115,"India",3.16094539493,0.216769167437,"(2.22e+03,2.78e+03]"
17707,"Kollam",1000,3000,1495,"Kerala","Member State","NO",115,"India",4.77243767144,0.193473465841,"(2.22e+03,2.78e+03]"
17708,"Thrissur",1000,3000,1495,"Kerala","Member State","NO",115,"India",3.2965151674,0.243594077773,"(2.22e+03,2.78e+03]"
17709,"Thiruvananthapuram",1000,3000,1495,"Kerala","Member State","NO",115,"India",2.66098068371,0.167488673983,"(2.22e+03,2.78e+03]"
17710,"Wayanad",1000,3000,1495,"Kerala","Member State","NO",115,"India",2.36995866112,0.17595334372,"(2.22e+03,2.78e+03]"
70298,"Alappuzha",1000,3000,1495,"Kerala","Member State","NO",115,"India",3.29402864428,0.1079469483,"(2.22e+03,2.78e+03]"
